id,predicted_positions
116,"[4, 10, 20]"
117,"[5, 6, 14, 23, 30]"
118,"[3, 13, 15, 24]"
119,"[5, 12, 18, 26]"
120,"[5, 11, 14, 17]"
121,"[3, 9, 12, 21]"
122,"[4, 12, 14, 19]"
123,"[5, 15]"
124,"[3, 9, 11, 19]"
125,"[5, 12, 20, 27]"
126,"[5, 25, 27]"
127,"[3, 10, 12]"
128,"[4, 12, 13, 20]"
129,"[5, 14, 21]"
130,"[3, 12, 19, 20]"
131,"[5, 14, 17, 25, 26]"
132,"[9, 12, 19]"
133,"[3, 11, 13]"
134,"[4, 9, 11]"
135,"[5, 11, 19, 25]"
136,"[3, 14, 15]"
137,"[5, 9, 17]"
138,"[5, 14]"
139,"[3, 14]"
140,"[4, 10, 17]"
141,"[5, 13, 22]"
142,"[3, 12]"
143,"[5, 11, 18, 19, 25]"
144,"[5, 12, 16]"
145,"[3, 13, 20]"
146,"[4, 8, 10, 17, 21]"
147,"[5, 20]"
148,"[3, 12]"
149,"[5, 16]"
150,"[11, 25]"
151,"[3, 11]"
152,"[4, 13, 14, 19]"
153,"[5, 11]"
154,"[8, 14]"
155,"[5, 14]"
156,"[8, 12, 14]"
157,"[3, 14, 16]"
158,"[4, 10, 12]"
159,"[5, 14, 17]"
160,"[3, 12, 13]"
161,"[5, 13]"
162,"[11, 16]"
163,"[1, 3, 8]"
164,"[4, 10, 11, 18]"
165,"[5, 14]"
166,"[3, 13, 14]"
167,"[1, 6]"
168,"[5, 14]"
169,"[3, 12]"
170,"[4, 9, 15, 17]"
171,"[5, 12]"
172,"[3, 13, 15, 18]"
173,"[1, 6, 10, 12]"
174,"[5, 8, 10]"
175,"[3, 12, 13, 20]"
176,"[4, 13, 14, 20]"
177,"[3, 14, 19, 22]"
178,"[5, 10, 13]"
179,"[5, 6, 9]"
180,"[3, 12, 18]"
181,"[4, 13, 19]"
182,"[5, 11]"
183,"[1, 4, 11, 23]"
184,"[5, 11, 14]"
185,"[5, 11]"
186,"[3, 13, 15]"
187,"[4, 13]"
188,"[5, 12]"
189,"[3, 13, 17]"
190,"[5, 12]"
191,[11]
192,"[3, 6, 16]"
193,"[4, 8, 15, 16]"
194,"[5, 16]"
195,"[3, 12, 15]"
196,"[5, 13]"
197,"[5, 17]"
198,"[3, 13]"
199,"[4, 9, 10]"
200,"[5, 11]"
201,"[3, 7, 9]"
202,"[5, 11]"
203,[11]
204,"[3, 9]"
205,"[4, 12, 13]"
206,"[5, 11, 14]"
207,"[3, 15]"
208,"[5, 12]"
209,"[5, 6, 13]"
210,"[3, 11, 13]"
211,"[4, 13]"
212,"[5, 11]"
213,"[3, 9, 12]"
214,"[5, 10]"
215,"[5, 15]"
216,"[4, 10, 20]"
217,"[4, 10, 15]"
218,"[5, 10]"
219,"[3, 14]"
220,"[5, 12]"
221,"[5, 6, 15]"
222,"[4, 11, 12]"
223,"[5, 11]"
224,"[3, 8, 11]"
225,"[5, 11]"
226,[9]
227,"[3, 13]"
228,"[4, 11, 12, 17]"
229,[5]
230,"[3, 12]"
231,"[5, 17]"
232,"[3, 8, 9, 15]"
233,"[4, 12, 13]"
234,"[5, 10]"
235,"[3, 8]"
236,"[5, 11]"
237,"[5, 6, 11]"
238,"[3, 9, 10]"
239,"[4, 7, 9]"
240,[5]
241,"[3, 12, 15]"
242,"[5, 16]"
243,"[5, 11]"
244,"[3, 9]"
245,"[4, 11]"
246,"[5, 7, 10, 12]"
247,"[4, 12, 13]"
248,"[3, 9]"
249,"[5, 11, 12]"
250,"[5, 14]"
251,"[3, 6, 10]"
252,"[6, 11]"
253,"[5, 16]"
254,"[4, 8]"
255,[5]
256,"[3, 9, 12]"
257,"[4, 11, 13]"
258,"[5, 12]"
259,"[3, 9]"
260,"[5, 11, 19]"
261,"[5, 14]"
262,"[3, 10]"
263,"[4, 9]"
264,"[5, 12]"
265,"[3, 11]"
266,"[5, 9, 10]"
267,"[5, 12]"
268,"[3, 4]"
269,"[4, 8]"
270,"[5, 11]"
271,"[3, 9]"
272,"[5, 12]"
273,"[5, 18]"
274,"[1, 10, 13]"
275,"[4, 11]"
276,"[5, 7]"
277,"[3, 9, 12]"
278,"[5, 14]"
279,"[3, 13, 15]"
280,"[4, 12]"
281,"[5, 10]"
282,"[3, 9]"
283,"[5, 17]"
284,"[5, 14]"
285,"[3, 9, 10]"
286,"[4, 11, 14]"
287,"[5, 12]"
288,"[3, 13, 15]"
289,"[5, 11, 13]"
290,"[5, 13]"
291,"[3, 10, 12]"
292,"[4, 8, 10]"
293,"[3, 9]"
294,"[5, 12]"
295,[5]
296,"[3, 9]"
297,"[4, 9, 10]"
298,"[5, 12]"
299,"[3, 9, 21]"
300,"[5, 10, 11]"
301,"[5, 6]"
302,"[3, 8]"
303,"[4, 12, 13]"
304,"[5, 11]"
305,"[3, 13]"
306,"[5, 11]"
307,"[5, 14]"
308,"[3, 13, 15]"
309,"[4, 8]"
310,"[5, 12]"
311,"[3, 9]"
312,"[5, 12]"
313,"[5, 11]"
314,"[3, 9, 12]"
315,"[4, 10, 13]"
316,"[5, 14]"
317,"[3, 9]"
318,"[5, 12]"
319,"[5, 7, 10]"
320,"[4, 11, 14]"
321,"[5, 16]"
322,"[3, 9]"
323,"[5, 9]"
324,"[3, 9, 10]"
325,"[4, 8, 10]"
326,"[5, 16]"
327,"[3, 9]"
328,"[5, 14]"
329,"[5, 12]"
330,"[3, 10]"
331,"[3, 13, 15]"
332,"[5, 10, 11]"
333,"[5, 14]"
334,"[3, 9]"
335,"[5, 14]"
336,"[3, 9]"
337,[6]
338,[4]
339,"[3, 9, 18, 23]"
340,"[11, 20, 21, 29]"
341,[9]
342,"[9, 11]"
343,"[7, 11]"
344,"[6, 7, 9, 17, 18]"
345,"[7, 9, 20, 23]"
346,"[5, 9, 13]"
347,"[6, 11, 12, 19]"
348,"[7, 9, 11]"
349,"[6, 17, 18]"
350,"[8, 9, 17, 18]"
351,"[5, 7, 19, 20]"
352,"[4, 10, 19]"
353,"[3, 13, 15]"
354,"[4, 12]"
355,"[1, 6, 12, 13, 21]"
356,"[5, 7]"
357,"[3, 8, 10]"
358,"[8, 10, 18]"
359,"[6, 11]"
360,"[5, 10, 14]"
361,"[4, 12, 18]"
362,"[3, 6, 7, 14, 16]"
363,"[5, 12, 15]"
364,"[2, 5, 10, 16]"
365,"[3, 10, 12, 19]"
366,[10]
367,"[6, 12]"
368,"[3, 11, 12, 18]"
369,"[6, 16, 18]"
370,"[3, 9, 19]"
371,"[6, 14, 20]"
372,"[7, 10]"
373,"[8, 14]"
374,"[7, 11]"
375,"[3, 17]"
376,"[8, 15]"
377,"[6, 11]"
378,"[3, 10]"
379,"[5, 11, 12]"
380,"[5, 16]"
381,"[6, 8]"
382,"[6, 9, 10]"
383,"[4, 11]"
384,"[4, 12]"
385,"[7, 15, 21, 24]"
386,"[6, 9, 11]"
387,"[3, 13, 16, 17]"
388,"[6, 12]"
389,"[4, 10, 16]"
390,"[3, 13, 15]"
391,"[4, 12]"
392,"[8, 11]"
393,[6]
394,"[5, 11]"
395,"[6, 17]"
396,"[6, 10]"
397,[]
398,"[5, 11, 13]"
399,"[5, 12]"
400,"[6, 10, 16]"
401,"[4, 10]"
402,"[6, 12]"
403,[4]
404,"[4, 14, 17]"
405,"[3, 10, 13]"
406,"[6, 11]"
407,"[7, 15]"
408,"[5, 12]"
409,"[6, 12]"
410,[3]
411,"[5, 11]"
412,"[5, 10]"
413,"[8, 9, 17]"
414,"[4, 10, 19]"
415,"[6, 12, 21]"
416,"[3, 11, 14]"
417,"[6, 14]"
418,"[3, 9, 13]"
419,"[7, 11]"
420,"[4, 12]"
421,"[4, 12, 14]"
422,"[3, 10]"
423,[6]
424,"[3, 14, 16]"
425,"[5, 11]"
426,"[3, 8, 10]"
427,"[6, 15]"
428,"[5, 12]"
429,"[3, 10]"
430,"[2, 8, 14, 17]"
431,"[6, 17, 18, 22]"
432,"[4, 13, 19]"
433,"[9, 11, 16, 18]"
434,"[8, 13, 22, 25]"
435,"[5, 7, 12, 18]"
436,"[1, 4, 6, 11, 16, 22, 28, 29]"
437,"[5, 13, 18, 24, 26]"
438,"[5, 9, 16, 24, 26, 31]"
439,"[4, 11, 16, 20]"
440,"[4, 11, 20]"
441,"[6, 12, 17, 23]"
442,"[4, 11, 15, 17]"
443,[10]
444,"[6, 12]"
445,"[2, 6, 8, 11]"
446,"[2, 9, 10, 12]"
447,"[10, 15, 18]"
448,"[4, 8, 11, 15]"
449,[7]
450,"[9, 14]"
451,"[4, 8, 9, 12, 15]"
452,"[4, 8, 15, 16]"
453,"[2, 3, 10, 13]"
454,"[2, 10]"
455,[8]
456,"[2, 8, 11]"
457,"[9, 14, 23]"
458,"[9, 18, 22]"
459,"[5, 11, 16]"
460,"[5, 9, 13, 20]"
461,[6]
462,"[6, 7, 12]"
463,"[6, 15]"
464,"[6, 8]"
465,"[1, 4, 9]"
466,"[4, 15]"
467,"[6, 11, 14, 15, 21, 24, 25]"
468,"[11, 13, 20]"
469,"[6, 11, 20]"
470,"[5, 8, 16, 25]"
471,"[1, 9, 10, 17]"
472,[8]
473,"[2, 11]"
474,"[1, 5, 22]"
475,"[3, 13]"
476,"[3, 5, 12, 20]"
477,"[1, 10, 13, 17, 21]"
478,"[6, 10, 19]"
479,"[6, 11]"
480,"[1, 10, 15]"
481,"[4, 8, 9, 14, 16, 19]"
482,"[7, 13, 14, 20]"
483,[5]
484,[12]
485,"[7, 14, 15, 23]"
486,"[4, 7, 8, 18, 22, 28, 29]"
487,"[6, 12, 17, 20, 26, 27]"
488,"[4, 5, 9, 13, 20, 29]"
489,"[6, 11, 17, 24]"
490,"[6, 9, 10, 16]"
491,"[4, 8, 9, 15]"
492,"[1, 7, 17, 20, 24]"
493,"[4, 12, 19]"
494,[11]
495,"[7, 18, 21]"
496,"[4, 10, 13, 19, 27]"
497,"[5, 14]"
498,"[6, 7, 19]"
499,"[5, 12, 17]"
500,"[5, 11, 14, 16, 23]"
501,"[5, 11, 13, 21, 27, 28]"
502,"[1, 3, 8, 13, 16, 25]"
503,"[5, 12, 17, 23]"
504,"[10, 12]"
505,"[3, 6, 14]"
506,"[2, 9, 14, 15]"
507,"[2, 4, 9, 12]"
508,"[6, 13]"
509,"[6, 7, 11, 18]"
510,"[7, 13, 16]"
511,"[3, 9]"
512,"[7, 16]"
513,"[4, 11, 16]"
514,"[4, 12]"
515,"[6, 9, 14]"
516,[6]
517,"[6, 16]"
518,"[7, 11]"
519,"[6, 13, 18]"
520,"[6, 8, 15]"
521,"[7, 9, 12, 15]"
522,"[7, 12, 15]"
523,"[1, 7, 11, 17]"
524,"[6, 10, 17]"
525,"[1, 10, 11, 16, 21]"
526,"[1, 6, 11, 17, 21]"
527,"[3, 9, 12, 13]"
528,"[6, 9]"
529,"[3, 4, 12]"
530,"[6, 10, 17, 23]"
531,"[6, 12, 18, 19, 26, 27]"
532,"[5, 7, 13, 19]"
533,"[6, 12, 17, 19, 25]"
534,"[3, 9]"
535,"[3, 9]"
536,"[6, 10, 17]"
537,"[1, 10, 11, 16, 22]"
538,"[6, 10, 12, 17, 22, 27]"
539,[7]
540,[6]
541,[]
542,"[3, 11, 12]"
543,[8]
544,"[1, 6, 9]"
545,"[2, 4, 9]"
546,"[4, 8, 10]"
547,"[9, 15, 17]"
548,"[10, 15]"
549,"[2, 7]"
550,[6]
551,"[1, 8]"
552,"[8, 10]"
553,[7]
554,"[2, 8]"
555,"[3, 5, 12, 13, 18, 22, 24, 30]"
556,"[14, 22]"
557,"[6, 8, 12, 20, 25, 26]"
558,"[16, 27]"
559,"[2, 6, 10, 11, 18, 23]"
560,"[6, 9, 11, 15, 21, 23, 34]"
561,"[1, 6, 8, 15, 16, 27]"
562,"[4, 12, 21, 26, 30]"
563,"[6, 8, 13, 17, 26, 29]"
564,"[6, 8, 13, 19, 22]"
565,"[1, 4, 10, 14, 22, 24]"
566,"[1, 4, 10, 19]"
567,"[9, 12, 13, 17, 21]"
568,"[4, 10, 20]"
569,"[4, 11, 13, 18, 26]"
570,"[6, 8, 18]"
571,"[6, 11, 17, 23]"
572,"[6, 15, 20]"
573,"[1, 4, 11, 14, 23, 24]"
574,"[4, 10, 14, 27]"
575,"[5, 9, 12, 13, 17, 22, 23, 28]"
576,"[2, 4, 10, 19]"
577,"[3, 10, 13, 19, 21]"
578,"[11, 18, 19]"
579,"[7, 11, 22, 25]"
580,"[4, 10, 20]"
581,"[5, 11, 12]"
582,"[5, 13]"
583,"[6, 13, 14]"
584,[]
585,"[1, 7, 11, 17]"
586,"[7, 11, 13, 17]"
587,"[5, 7, 14]"
588,[5]
589,[]
590,"[6, 7]"
591,[9]
592,[6]
593,[]
594,"[2, 4]"
595,[8]
596,[]
597,"[8, 13, 15, 20]"
598,"[9, 14]"
599,"[2, 10, 14]"
600,[6]
601,"[5, 11, 14]"
602,"[7, 13, 14]"
603,"[2, 14, 16]"
604,"[3, 6]"
605,[5]
606,"[5, 11]"
607,"[3, 5, 11, 12, 20, 28]"
608,"[5, 13, 18, 21, 29]"
609,[7]
610,"[5, 12, 20]"
611,[8]
612,"[2, 5, 12, 13, 25]"
613,"[3, 9, 10, 16, 25]"
614,"[6, 8]"
615,"[10, 11]"
616,"[6, 8]"
617,[]
618,"[6, 8]"
619,"[6, 8, 15]"
620,"[4, 12]"
621,[]
622,"[2, 8, 10]"
623,"[2, 8, 10, 19]"
624,"[7, 14, 21]"
625,"[6, 9]"
626,"[6, 15, 19]"
627,"[6, 10, 13, 16, 18]"
628,"[2, 9]"
629,[9]
630,[]
631,"[6, 8]"
632,"[7, 14]"
633,"[5, 10, 15]"
634,[]
635,"[1, 7, 11]"
636,[]
637,[7]
638,[10]
639,"[4, 11]"
640,"[3, 9, 14, 17]"
641,"[8, 13, 14, 17]"
642,"[6, 11, 16]"
643,"[1, 6, 10, 17]"
644,"[7, 11]"
645,"[3, 10, 18, 21, 28]"
646,"[3, 10, 18, 26, 27]"
647,"[5, 9, 15, 19, 25]"
648,"[3, 11, 14, 18, 19, 23, 30]"
649,"[1, 5, 10, 15, 16, 21, 23]"
650,"[5, 9, 18, 23, 27, 33]"
651,"[1, 6, 13, 19, 20, 28, 32]"
652,"[2, 9, 11, 23, 28, 32, 33]"
653,"[1, 7, 14, 19]"
654,"[6, 12, 18, 22, 30]"
655,"[6, 16, 22, 32, 33]"
656,"[2, 8, 15, 17, 23]"
657,"[3, 11, 12, 19, 21, 23, 27]"
658,"[4, 6, 12, 17, 21, 23, 29]"
659,"[2, 14, 16, 19, 26, 33]"
660,"[2, 5, 8, 14, 15, 22, 28]"
661,"[3, 10, 11, 17]"
662,"[5, 8, 15, 21]"
663,"[5, 11, 17, 18, 24]"
664,"[4, 13, 14, 24, 27, 29, 35]"
665,"[3, 7, 11, 16]"
666,"[3, 8, 12, 20]"
667,"[4, 16, 20, 24, 27, 28]"
668,"[1, 9, 16]"
669,"[1, 9]"
670,"[7, 9, 14, 15, 24, 30]"
671,"[7, 15, 23, 25, 31, 33]"
672,"[6, 14, 16, 23, 26, 30]"
673,"[6, 9, 17, 23, 28, 33, 38]"
674,"[4, 7, 15, 16, 19, 21]"
675,"[2, 6, 12, 18, 24, 28]"
676,"[6, 9, 15, 18, 21, 34]"
677,"[6, 13, 14, 22, 29]"
678,"[3, 9, 13, 16, 20, 24, 29]"
679,"[4, 13, 14, 18, 24, 25, 30]"
680,"[4, 8]"
681,"[7, 9, 14, 15, 24, 30]"
682,"[7, 13, 18, 20, 27, 28]"
683,"[5, 10, 17, 21, 26, 27, 34]"
684,"[5, 11, 16, 23, 26, 29]"
685,[]
686,"[5, 11, 20]"
687,"[6, 14, 20]"
688,"[7, 15]"
689,"[3, 9, 17]"
690,"[2, 10, 11]"
691,[5]
692,"[2, 7, 11, 12]"
693,[6]
694,"[2, 7, 17, 19]"
695,[9]
696,"[2, 5, 6, 14]"
697,[7]
698,"[1, 4, 6, 13]"
699,"[3, 10]"
700,"[4, 7, 11]"
701,"[3, 9]"
702,"[2, 10, 16]"
703,"[7, 13, 15, 20]"
704,"[2, 5, 13, 15, 20]"
705,"[6, 16, 19, 26]"
706,"[1, 4, 7, 11, 12]"
707,"[3, 6, 8, 11]"
708,"[2, 5, 7, 9]"
709,"[6, 7]"
710,[8]
711,[8]
712,"[7, 11]"
713,[10]
714,"[3, 11, 18]"
715,"[3, 11]"
716,"[5, 8, 13, 17, 22]"
717,"[2, 10, 17]"
718,[]
719,[8]
720,"[1, 6]"
721,"[6, 10]"
722,"[2, 8]"
723,"[2, 9]"
724,[5]
725,"[2, 9]"
726,[10]
727,"[6, 11, 13, 17]"
728,"[8, 13, 14, 20]"
729,"[3, 13, 14, 22]"
730,"[6, 11, 12, 17, 19]"
731,"[1, 11, 14, 20]"
732,"[7, 15]"
733,"[7, 12, 14]"
734,"[2, 11, 15]"
735,"[5, 12, 20, 21]"
736,"[6, 9, 14, 16]"
737,"[10, 15]"
738,"[2, 6, 20]"
739,"[11, 12]"
740,"[6, 12, 19]"
741,"[6, 11, 19]"
742,"[2, 7, 10, 15, 24]"
743,"[6, 13, 16, 18, 29]"
744,"[3, 8, 12, 15, 22, 27]"
745,"[1, 9, 12, 14]"
746,"[9, 17, 22, 27, 34, 36]"
747,"[2, 9, 19]"
748,"[5, 11, 13, 17, 21]"
749,"[4, 8, 9, 14, 23]"
750,"[4, 9, 16, 20, 25, 31]"
751,"[4, 8, 9, 19, 20, 25]"
752,"[2, 4, 13, 18, 24, 29]"
753,"[6, 7, 13, 16, 18]"
754,"[4, 7, 13, 15, 21, 30, 31, 35]"
755,"[2, 6]"
756,"[1, 9, 18, 19, 24, 29]"
757,"[2, 7, 11, 14, 19, 22, 29, 35]"
758,"[6, 12, 15, 21, 26, 29]"
759,"[2, 7, 9, 15, 19, 25, 30, 33, 35, 39]"
760,"[9, 12, 13, 19, 23]"
761,"[6, 8, 14, 21, 23, 25, 32]"
762,"[1, 8, 10, 15, 20, 21, 24, 27, 31, 36]"
763,"[1, 7, 9]"
764,"[1, 14, 15, 16]"
765,"[1, 7, 8]"
766,"[9, 10, 14, 15, 16, 21]"
767,"[6, 22, 25]"
768,"[8, 14, 18, 19, 24, 32, 34, 39]"
769,"[5, 11, 20, 22, 28, 32, 38]"
770,"[2, 4, 10, 15, 23, 26, 36]"
771,"[3, 13, 14, 21, 24, 33, 38]"
772,"[9, 14]"
773,"[1, 14, 15, 16]"
774,"[1, 7]"
775,"[11, 15, 20]"
776,"[3, 8, 11, 17, 20]"
777,"[2, 7, 19]"
778,"[5, 18]"
779,"[3, 9, 22]"
780,"[2, 6, 12, 21]"
781,"[6, 8, 11, 16, 22, 26]"
782,"[3, 10, 13, 20, 29]"
783,[7]
784,"[4, 13, 19, 20, 28, 36]"
785,"[9, 17, 22, 32, 35, 38, 49]"
786,"[6, 9, 12, 18, 25]"
787,"[6, 8, 16, 24, 25]"
788,"[11, 15, 23, 25]"
789,"[6, 14, 20, 28, 30]"
790,"[3, 8, 14]"
791,"[6, 8]"
792,"[7, 11, 17, 20, 25]"
793,"[7, 10]"
794,"[7, 9, 14, 19]"
795,"[8, 13, 15, 22]"
796,"[7, 16, 25, 31]"
797,"[1, 7, 10, 18, 24, 30]"
798,"[3, 14, 15, 17, 21]"
799,"[10, 15, 21, 24]"
800,"[3, 7, 15, 17, 21]"
801,"[11, 19, 28]"
802,"[2, 5, 10, 11, 14, 16, 24]"
803,"[9, 15, 16, 23]"
804,"[1, 8, 11, 13, 21, 24, 25]"
805,"[7, 13, 17, 20, 22, 27]"
806,"[4, 8, 13, 14, 19, 23, 29]"
807,"[8, 14, 19, 26]"
808,"[6, 13, 16, 24]"
809,"[4, 7, 17, 26, 29]"
810,"[6, 13, 14, 23]"
811,"[8, 10, 15, 23, 24]"
812,"[4, 11, 21, 23]"
813,"[7, 14, 24]"
814,"[9, 16, 17, 26]"
815,"[3, 7, 16, 18]"
816,"[5, 14, 20, 24]"
817,"[17, 18, 27]"
818,"[8, 12, 20]"
819,"[6, 15, 21]"
820,"[6, 12, 22]"
821,"[9, 16, 18, 21, 26]"
822,"[9, 12, 18, 23, 24]"
823,"[3, 9, 13, 18, 25, 27]"
824,"[2, 8, 16, 23]"
825,"[3, 6, 7, 9, 13, 15, 20, 24]"
826,"[1, 12, 20, 21, 24]"
827,"[6, 14, 15, 22]"
828,"[2, 15, 22]"
829,"[1, 13, 19]"
830,"[3, 10, 11, 19, 26]"
831,"[1, 11]"
832,"[6, 13, 15, 22]"
833,"[7, 8, 12, 18]"
834,"[4, 5, 9, 18, 21]"
835,"[3, 13, 20]"
836,"[1, 8, 15, 18, 20]"
837,"[6, 9, 17, 23, 26]"
838,"[8, 12, 16]"
839,"[7, 10, 18, 20]"
840,"[1, 9, 17, 24]"
841,"[5, 13, 21]"
842,"[9, 14, 15, 19]"
843,"[6, 11, 17, 21]"
844,"[3, 11]"
845,"[5, 9, 16, 18]"
846,"[2, 11]"
847,[9]
848,"[1, 8, 15, 18]"
849,"[2, 6, 14, 23]"
850,"[9, 15, 16, 21, 23]"
851,"[4, 12, 19, 20]"
852,"[5, 7, 15, 19]"
853,"[2, 8, 13, 20]"
854,"[7, 10, 18, 20]"
855,"[2, 10, 18, 19, 26, 28]"
856,"[2, 6, 14, 21]"
857,"[8, 19, 25, 29]"
858,"[3, 7, 18, 24]"
859,"[4, 7, 12, 19, 20, 22, 26, 28]"
860,"[3, 4, 7, 9, 16, 19, 23, 25]"
861,"[9, 17, 21, 29]"
862,"[4, 12]"
863,"[4, 12]"
864,"[2, 7, 10, 15, 21]"
865,"[6, 11, 20, 26, 31]"
866,"[3, 6, 11, 19, 27]"
867,"[3, 11, 14, 27]"
868,"[6, 15, 21]"
869,"[6, 16, 17, 22, 29]"
870,"[8, 19, 26, 28]"
871,"[8, 12, 21, 28, 37]"
872,"[4, 5, 9]"
873,"[4, 6, 12]"
874,"[2, 11]"
875,"[6, 11]"
876,"[7, 11]"
877,"[2, 5]"
878,[9]
879,"[2, 8]"
880,"[2, 5, 11]"
881,[7]
882,"[6, 12]"
883,[9]
884,[]
885,"[6, 7, 11]"
886,"[5, 11]"
887,"[6, 8, 13]"
888,"[1, 4, 10]"
889,"[1, 9]"
890,"[2, 9]"
891,"[4, 9, 10, 14]"
892,"[2, 6, 12]"
893,[6]
894,"[2, 8]"
895,"[6, 11]"
896,"[2, 8]"
897,"[7, 12]"
898,"[6, 12]"
899,"[3, 11]"
900,"[5, 7, 9]"
901,"[2, 6]"
902,[11]
903,"[2, 8, 12, 21]"
904,"[9, 13]"
905,"[2, 6, 8, 11, 13, 17, 21]"
906,"[10, 12, 16, 18]"
907,"[2, 4, 10, 13, 15, 17]"
908,"[8, 14, 17, 24, 28]"
909,"[6, 12, 14, 21]"
910,"[2, 8, 15, 18]"
911,"[8, 10]"
912,"[1, 5, 10, 14, 19, 29]"
913,"[5, 10, 14, 15, 24]"
914,"[6, 14, 20, 23]"
915,"[1, 7, 14, 19, 28]"
916,"[5, 13, 16, 23, 27]"
917,"[6, 12, 13, 20]"
918,"[2, 5, 6, 15, 24]"
919,"[2, 7, 9, 12, 14, 18, 22]"
920,"[6, 13, 14, 17, 23]"
921,"[3, 9, 21]"
922,"[3, 10, 13, 15, 19, 22, 28]"
923,"[9, 15]"
924,"[5, 7, 19]"
925,"[5, 12, 21]"
926,"[5, 7, 13, 18, 20]"
927,"[5, 12, 14, 16]"
928,"[7, 14, 21, 23]"
929,"[9, 13, 19, 20]"
930,"[7, 13, 14, 21]"
931,"[6, 8, 13, 16, 18]"
932,"[1, 7, 10, 16, 22]"
933,"[8, 14, 15, 21]"
934,"[6, 8, 14, 15, 16, 22]"
935,"[7, 15, 17]"
936,"[8, 16, 25]"
937,"[5, 8, 14, 20]"
938,"[5, 15, 21]"
939,"[3, 5, 16, 21, 23]"
940,"[6, 12, 14, 19]"
941,"[10, 15]"
942,"[8, 15]"
943,"[6, 13, 22]"
944,"[9, 16]"
945,"[9, 28]"
946,[6]
947,"[3, 13]"
948,"[8, 10, 15, 16, 20, 27]"
949,"[10, 11, 15]"
950,"[10, 11, 15]"
951,"[8, 16, 24]"
952,"[5, 8, 16, 18, 19, 21]"
953,"[6, 11]"
954,"[3, 7, 9, 13, 20, 24]"
955,"[6, 8, 16]"
956,"[6, 14]"
957,"[9, 20, 25, 29, 30]"
958,"[4, 12, 16]"
959,"[5, 8, 13, 20]"
960,"[2, 10, 12]"
961,"[6, 11]"
962,"[2, 4, 10, 15]"
963,"[2, 4, 10, 15]"
964,"[6, 11, 20]"
965,"[6, 10, 14, 15, 21]"
966,"[6, 11, 20]"
967,"[11, 20]"
968,"[3, 7, 11, 16, 19, 25]"
